SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
C[C@@H](CO)c1ccc(Nc2ncc(F)c(N3C[C@H]4[C@@H](C)[C@@]4(N=C(O)C4CC4)C3)n2)cn1,1150,-3.06069784,3127,-3.495127881,,,86,-1.934498451
C[C@@H](CO)c1ccc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)C3CC3(F)F)n2)cn1,79,-1.897627091,141,-2.149219113,,,40,-1.602059991
C[C@@H](N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,,1.7,-0.230448921,340,-2.531478917,,
C[C@@H](N[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1)C1CC1,0.15,0.823908741,12,-1.079181246,,,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N(C)C,636.6,-2.803866634,231.2,-2.36398783,115,-2.06069784,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,47,-1.672097858,8900,-3.949390007,328,-2.515873844,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC(C#N)C1,44.7,-1.650307523,2030,-3.307496038,553,-2.742725131,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC1,870.7,-2.939868544,345.4,-2.538322333,160,-2.204119983,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1,430.5,-2.633973156,121.6,-2.084933575,55,-1.740362689,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,361,-2.557507202,123.1,-2.090258053,77,-1.886490725,,
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)O,99.7,-1.998695158,43,-1.633468456,23.4,-1.369215857,,
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3cn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1,1,0,3.3,-0.51851394,55,-1.740362689,,
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3cnc4cc(Cl)ccn34)nc12)C(=O)N1CC(C#N)C1,61,-1.785329835,57,-1.755874856,5,-0.698970004,,
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3ncn4cc(F)cc(F)c34)nc12)C(=O)N1CC(C#N)C1,73,-1.86332286,10800,-4.033423755,1470,-3.167317335,,
