SMILES,JAK1,JAK1_true,JAK1_IC50,pIC50_JAK1,JAK2,JAK2_true,JAK2_IC50,pIC50_JAK2,JAK3,JAK3_true,JAK3_IC50,pIC50_JAK3,TYK2,TYK2_true,TYK2_IC50,pIC50_TYK2
COc1ccc2c(c1)c(C1=C(c3c[nH]c4ccccc34)C(=O)NC1=O)cn2CCCN(C)C,100.05,0,20000,-4.301029996,97.47,0,19262.84585,-4.284720449,138.27,0,20000,-4.301029996,125.87,0,20000,-4.301029996
O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,87.28,0,3430.81761,-3.535397631,108.88,0,20000,-4.301029996,121.92,0,20000,-4.301029996,103.45,0,20000,-4.301029996
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,88.5,0,3847.826087,-3.585215435,102.48,0,20000,-4.301029996,100.72,0,20000,-4.301029996,107.6,0,20000,-4.301029996
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,94.23,0,8165.511265,-3.911983382,103.6,0,20000,-4.301029996,104.99,0,20000,-4.301029996,107.99,0,20000,-4.301029996
CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,94.27,0,8226.00349,-3.915188889,100.15,0,20000,-4.301029996,99.19,0,20000,-4.301029996,113.95,0,20000,-4.301029996
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,96.41,0,13427.5766,-4.127997639,102.7,0,20000,-4.301029996,105.76,0,20000,-4.301029996,112.43,0,20000,-4.301029996
Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1,102.89,0,20000,-4.301029996,106.72,0,20000,-4.301029996,105.67,0,20000,-4.301029996,104.83,0,20000,-4.301029996
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,109.91,0,20000,-4.301029996,101.09,0,20000,-4.301029996,99.14,0,20000,-4.301029996,100.6,0,20000,-4.301029996
NC(=NN=Cc1ccc(-c2cccc([N+](=O)[O-])c2)o1)N[N+](=O)[O-],101.91,0,20000,-4.301029996,98.82,0,20000,-4.301029996,102.78,0,20000,-4.301029996,109.89,0,20000,-4.301029996
COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,99.32,0,20000,-4.301029996,99.56,0,20000,-4.301029996,102.58,0,20000,-4.301029996,99.68,0,20000,-4.301029996
